watershed,runoff_gta,runoff_interannual_std_gta,runoff_interannual_std_pc,std_corr_gta,std_uncorr_gta,std_corr_perfect_gta,std_corr_perfect_pc,melt_gta,melt_interannual_std_gta,excess_meltwater_gta,excess_meltwater_interannual_std_gta,rfrz_gta,rfrz_interannual_std_gta
Amu_Darya,13.97805682,2.400064381,17.17022911,1.007061759,0.507783444,6.596519302,7.204590537,10.69500607,2.148472685,1.367839145,1.123709228,0.468567097,0.112472101
Brahmaputra,45.43223273,3.489223082,7.680060769,1.886957495,0.858049597,17.21075113,4.153345282,22.81370759,1.947518271,5.807393325,2.331405818,0.271264946,0.065063012
Ganges,23.11518784,1.927341422,8.337987281,1.458082983,0.731792504,10.93867818,6.307900216,11.23848369,0.98269854,3.153749482,1.377851523,0.281105044,0.067846532
Ili,4.90313561,0.937932711,19.12924271,0.636174949,0.338053431,2.402488648,12.97485935,3.81259848,0.767563427,1.527562242,0.54262659,0.189309665,0.045829913
Indus,30.88806699,5.244528915,16.97914251,1.47969439,0.770144213,14.60759262,4.790504988,25.41198769,4.264665441,4.756611249,2.658005087,1.194130512,0.307935713
Inner_Tibetan_Plateau,4.024199513,0.985733521,24.49514537,0.346989666,0.208818693,1.774666828,8.622576107,2.791762253,0.831573811,0.869531744,0.654599606,0.26384494,0.06926299
Inner_Tibetan_Plateau_extended,2.392130013,0.947080951,39.59153333,0.176961185,0.113053715,1.015164834,7.397640753,1.997020756,0.811520448,0.654591062,0.620052805,0.174423157,0.044884636
Irrawaddy,0.255383384,0.02866904,11.22588304,0.102846673,0.047128328,0.117471729,40.2714816,0.102501401,0.017987833,0.028385262,0.011115333,0.000516559,0.00018817
Mekong,0.522744529,0.065948762,12.61586839,0.102011182,0.050788799,0.199759481,19.51453851,0.277701536,0.05192101,0.092193498,0.055234632,0.007321597,0.001858374
Salween,4.035831213,0.380165929,9.419767793,0.793582037,0.361273849,1.364190654,19.66340996,2.030640558,0.253074216,0.609970884,0.23577685,0.031575593,0.008411705
Syr_Darya,3.915044838,0.579383343,14.79889419,0.491600115,0.245792829,1.720812584,12.55669183,2.592766166,0.477763328,0.530925533,0.276000994,0.099958183,0.020845599
Tarim,10.99919789,2.340528753,21.27908577,0.86578354,0.46911557,6.408421855,7.871333426,9.308067836,2.103504955,1.996590879,0.953964497,0.751553944,0.24640155
Yangtze,4.554177606,0.576918403,12.66789425,0.29923527,0.154557672,1.437644652,6.570566534,2.520763855,0.419786751,0.693620157,0.391918283,0.075720453,0.018744509
Yellow,0.082115309,0.015769707,19.20434468,0.050449645,0.029120149,0.029684258,61.43756393,0.059843776,0.013571101,0.025987083,0.0140743,0.002284436,0.000584684
